@relation HW9_TestingOneClassClassification_train

@attribute class {bot}
@attribute score_tag {P,NONE,N,NEU,P+,N+}
@attribute agreement {AGREEMENT,DISAGREEMENT}
@attribute subjectivity {SUBJECTIVE,OBJECTIVE}
@attribute confidence numeric
@attribute irony {NONIRONIC,IRONIC}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric
@attribute urlsCount numeric
@attribute mentionsCount numeric
@attribute isRetweet numeric
@attribute wordsCount numeric
@attribute hashtagsCount numeric

@data
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.405535,0.163435,0.155701,0.149269,0.12606,0,1,0,2,0
bot,NEU,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.263329,0.20724,0.185889,0.18001,0.163532,0,0,0,15,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.549459,0.306419,0.049466,0.049344,0.045311,0,1,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.384554,0.333589,0.148948,0.077464,0.055445,0,1,0,16,0
bot,P+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.568171,0.216114,0.120874,0.057296,0.037545,0,0,0,10,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.442968,0.272546,0.164727,0.108218,0.01154,0,1,0,19,0
bot,NONE,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.405535,0.163435,0.155701,0.149269,0.12606,0,1,0,2,0
bot,N+,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.552866,0.312349,0.080137,0.045341,0.009307,0,0,0,22,0
bot,NONE,AGREEMENT,OBJECTIVE,100,NONIRONIC,0.379001,0.25747,0.191129,0.116434,0.055967,0,0,0,3,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.435594,0.341297,0.117284,0.077236,0.028588,0,2,0,23,0
bot,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.287599,0.236139,0.180066,0.176752,0.119445,0,0,0,9,0
