@relation KNN_Emotion_train

@attribute class {bot,human}
@attribute joy numeric
@attribute surprise numeric
@attribute fear numeric
@attribute sadness numeric
@attribute anger numeric

@data
bot,0.25377,0.240413,0.238728,0.217395,0.049693
bot,0.275958,0.249117,0.163709,0.159983,0.151233
bot,0.298054,0.195347,0.182301,0.170082,0.154217
bot,0.773935,0.136335,0.055152,0.021976,0.012602
bot,0.434742,0.208585,0.183105,0.089302,0.084266
bot,0.504156,0.165259,0.128892,0.125411,0.076283
bot,0.405535,0.163435,0.155701,0.149269,0.12606
bot,0.282531,0.21716,0.192946,0.164956,0.142407
bot,0.405535,0.163435,0.155701,0.149269,0.12606
bot,0.471135,0.302309,0.12108,0.089372,0.016105
bot,0.755467,0.091631,0.069754,0.054057,0.02909
bot,0.377522,0.309575,0.114527,0.103002,0.095374
bot,0.45801,0.292454,0.156331,0.048572,0.044633
bot,0.505931,0.296719,0.100015,0.049859,0.047477
bot,0.347084,0.278826,0.20871,0.09539,0.06999
bot,0.411706,0.334316,0.153782,0.058419,0.041777
bot,0.366764,0.23999,0.179311,0.155172,0.058764
bot,0.55335,0.326516,0.077748,0.027678,0.014708
bot,0.35999,0.279546,0.172248,0.110972,0.077244
bot,0.372321,0.2658,0.151501,0.111016,0.099362
bot,0.298054,0.195347,0.182301,0.170082,0.154217
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.63145,0.175134,0.089241,0.066728,0.037448
bot,0.357977,0.294887,0.16011,0.109227,0.077799
bot,0.446705,0.222796,0.180203,0.104107,0.046189
bot,0.53681,0.239906,0.124882,0.091422,0.006979
bot,0.293651,0.245209,0.207053,0.153687,0.100399
bot,0.415748,0.278409,0.14025,0.092606,0.072988
bot,0.396459,0.349017,0.154887,0.065584,0.034053
bot,0.379084,0.353518,0.160082,0.08295,0.024366
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.627727,0.133241,0.101856,0.086338,0.050839
bot,0.526207,0.244356,0.107597,0.077289,0.044551
bot,0.480575,0.246844,0.105393,0.095702,0.071485
bot,0.473437,0.242135,0.160378,0.089107,0.034943
bot,0.454603,0.415989,0.079043,0.028743,0.021622
bot,0.428806,0.272708,0.196703,0.086384,0.015399
bot,0.812111,0.126582,0.044543,0.009715,0.00705
bot,0.289721,0.254292,0.207972,0.130738,0.117277
bot,0.528456,0.159085,0.157289,0.082596,0.072573
bot,0.828734,0.092686,0.065976,0.011412,0.001193
bot,0.68772,0.102575,0.100238,0.096229,0.013238
bot,0.538973,0.149156,0.148012,0.105533,0.058325
bot,0.282531,0.21716,0.192946,0.164956,0.142407
bot,0.474149,0.412924,0.057395,0.046969,0.008563
bot,0.809497,0.159722,0.019741,0.007825,0.003216
bot,0.384194,0.33025,0.131377,0.08883,0.065348
bot,0.500225,0.46704,0.021792,0.008848,0.002095
bot,0.341542,0.226167,0.187142,0.132663,0.112487
bot,0.376536,0.221111,0.15059,0.139549,0.112215
bot,0.395777,0.277505,0.141407,0.114239,0.071072
bot,0.466067,0.27836,0.187505,0.058777,0.00929
bot,0.448874,0.212841,0.208344,0.100295,0.029647
bot,0.769309,0.102388,0.054214,0.048368,0.025721
bot,0.49283,0.164948,0.163025,0.117514,0.061683
bot,0.815117,0.116586,0.055805,0.007834,0.004658
bot,0.571757,0.246235,0.113977,0.034475,0.033557
bot,0.291251,0.267767,0.220067,0.15462,0.066294
bot,0.683029,0.222767,0.034659,0.031298,0.028246
bot,0.30617,0.246459,0.172798,0.161633,0.11294
bot,0.704137,0.183608,0.051996,0.032796,0.027464
bot,0.268457,0.222832,0.178667,0.178222,0.151821
bot,0.505939,0.310307,0.101107,0.044003,0.038644
bot,0.348056,0.326716,0.125299,0.120763,0.079166
bot,0.278866,0.230772,0.180885,0.159341,0.150135
bot,0.290218,0.222206,0.208442,0.144373,0.134761
bot,0.380174,0.219602,0.199973,0.124144,0.076107
bot,0.483068,0.218482,0.1744,0.0696,0.05445
bot,0.437805,0.332223,0.09333,0.08499,0.051652
bot,0.322785,0.209312,0.171302,0.152595,0.144006
bot,0.370632,0.261768,0.155366,0.10635,0.105885
bot,0.465272,0.241569,0.145519,0.107614,0.040026
bot,0.41774,0.235225,0.231775,0.08795,0.02731
bot,0.287757,0.238068,0.23771,0.18353,0.052935
bot,0.34083,0.246412,0.168868,0.160237,0.083653
bot,0.716404,0.122272,0.080724,0.061228,0.019371
bot,0.515926,0.286782,0.162244,0.023905,0.011143
bot,0.495543,0.219353,0.217385,0.038973,0.028746
bot,0.420173,0.410859,0.095533,0.042054,0.031382
bot,0.360854,0.260137,0.159182,0.157174,0.062652
bot,0.378495,0.289481,0.12739,0.112377,0.092257
bot,0.351012,0.284512,0.230379,0.096368,0.037728
bot,0.424042,0.331614,0.218488,0.022574,0.003282
bot,0.525886,0.301726,0.09871,0.040856,0.032823
bot,0.460507,0.302609,0.145881,0.070828,0.020175
bot,0.907511,0.068138,0.020366,0.002997,0.000988
bot,0.685473,0.125424,0.09181,0.075464,0.021829
bot,0.712593,0.140529,0.086406,0.034444,0.026028
bot,0.280323,0.219536,0.201453,0.150095,0.148592
bot,0.326172,0.204898,0.1889,0.143978,0.136052
bot,0.468001,0.363299,0.147866,0.014799,0.006035
bot,0.870879,0.046427,0.038424,0.02973,0.01454
bot,0.401668,0.222938,0.174512,0.12563,0.075253
bot,0.298054,0.195347,0.182301,0.170082,0.154217
bot,0.329606,0.324683,0.17813,0.092673,0.074907
bot,0.455365,0.300698,0.122535,0.068088,0.053313
bot,0.400333,0.308334,0.188247,0.092611,0.010474
bot,0.40393,0.333009,0.193048,0.051398,0.018616
bot,0.288948,0.243816,0.203555,0.199055,0.064625
bot,0.712387,0.175563,0.09411,0.011407,0.006534
bot,0.489597,0.354848,0.094859,0.036867,0.023829
bot,0.611857,0.270497,0.093125,0.015732,0.00879
bot,0.397874,0.21475,0.182037,0.109354,0.095985
bot,0.362454,0.188211,0.177267,0.155995,0.116073
bot,0.345539,0.271513,0.22546,0.10317,0.054319
bot,0.530663,0.298115,0.089532,0.061665,0.020024
bot,0.376528,0.24361,0.152467,0.115234,0.112161
bot,0.425162,0.278912,0.103255,0.100013,0.092659
bot,0.313803,0.295682,0.179257,0.109492,0.101766
bot,0.414486,0.351793,0.176231,0.044602,0.012889
bot,0.578658,0.190584,0.134933,0.073122,0.022703
bot,0.43979,0.252413,0.202854,0.085753,0.019191
bot,0.375663,0.226845,0.158738,0.15868,0.080074
bot,0.596441,0.294017,0.062524,0.03563,0.011387
bot,0.241296,0.215947,0.206155,0.190697,0.145906
bot,0.302895,0.291972,0.225771,0.123559,0.055803
bot,0.413725,0.237273,0.185071,0.100887,0.063043
bot,0.37933,0.209689,0.166845,0.12553,0.118606
bot,0.623593,0.110882,0.101643,0.087501,0.07638
bot,0.30752,0.282156,0.163975,0.134328,0.112021
bot,0.594744,0.200651,0.123495,0.056938,0.024172
bot,0.347888,0.213334,0.182745,0.178844,0.077189
bot,0.31976,0.273698,0.213282,0.173417,0.019843
bot,0.372752,0.18019,0.171698,0.147888,0.127472
bot,0.636279,0.24931,0.080686,0.029903,0.003822
bot,0.355236,0.226234,0.167554,0.15096,0.100017
bot,0.395425,0.320032,0.132348,0.092147,0.060048
bot,0.304919,0.294228,0.203148,0.13075,0.066954
bot,0.376528,0.24361,0.152467,0.115234,0.112161
bot,0.41882,0.240082,0.235701,0.08781,0.017587
bot,0.469535,0.198138,0.162071,0.135466,0.03479
bot,0.243171,0.223635,0.198085,0.176774,0.158335
bot,0.316441,0.272231,0.230014,0.098937,0.082377
bot,0.340194,0.336956,0.139753,0.119807,0.06329
bot,0.752971,0.180585,0.04055,0.013105,0.012789
bot,0.691366,0.167281,0.093098,0.030723,0.017531
bot,0.4928,0.171143,0.122701,0.11357,0.099786
bot,0.360924,0.22898,0.192811,0.134934,0.082352
bot,0.513383,0.179679,0.174906,0.080952,0.05108
bot,0.343078,0.20228,0.194916,0.136187,0.123539
bot,0.387801,0.244019,0.210118,0.122146,0.035916
bot,0.435085,0.191777,0.176726,0.145119,0.051293
bot,0.717077,0.130795,0.067087,0.046968,0.038074
bot,0.769785,0.144618,0.030794,0.027586,0.027218
bot,0.332317,0.214697,0.186146,0.141542,0.125297
bot,0.319046,0.305673,0.291059,0.071147,0.013076
bot,0.264826,0.237863,0.167842,0.165451,0.164018
bot,0.291249,0.275836,0.19404,0.137534,0.101342
bot,0.384364,0.205717,0.153084,0.132706,0.12413
bot,0.498329,0.231969,0.138799,0.101757,0.029146
bot,0.444132,0.269609,0.136016,0.084254,0.06599
bot,0.445256,0.427808,0.072163,0.034023,0.02075
bot,0.516142,0.260716,0.079579,0.074996,0.068567
bot,0.306038,0.283577,0.155693,0.143625,0.111067
bot,0.584103,0.245542,0.079016,0.050446,0.040893
bot,0.553159,0.265986,0.095068,0.046098,0.03969
bot,0.482183,0.172924,0.131382,0.113914,0.099597
bot,0.34595,0.254297,0.20587,0.143309,0.050573
bot,0.279309,0.237179,0.178546,0.1648,0.140166
bot,0.341542,0.226167,0.187142,0.132663,0.112487
bot,0.484808,0.214803,0.130988,0.106885,0.062516
bot,0.481525,0.331659,0.104847,0.05535,0.02662
bot,0.68479,0.182797,0.094076,0.02261,0.015727
bot,0.384979,0.277829,0.138376,0.113613,0.085203
bot,0.464531,0.262678,0.109329,0.088854,0.074608
bot,0.338744,0.318996,0.124726,0.113178,0.104356
bot,0.576251,0.228898,0.084909,0.060223,0.049719
bot,0.578168,0.289214,0.055048,0.047247,0.030323
bot,0.304352,0.250963,0.2046,0.182421,0.057664
bot,0.580743,0.240917,0.105444,0.04141,0.031485
bot,0.32468,0.299113,0.189521,0.138324,0.048363
bot,0.586579,0.337675,0.032344,0.026877,0.016525
bot,0.501145,0.289214,0.141517,0.037334,0.030789
bot,0.253454,0.224465,0.204753,0.189041,0.128287
bot,0.353909,0.194162,0.180521,0.140309,0.131099
bot,0.372321,0.2658,0.151501,0.111016,0.099362
bot,0.619379,0.143764,0.096881,0.083913,0.056063
bot,0.298134,0.222184,0.200747,0.173328,0.105608
bot,0.608977,0.251265,0.05405,0.045935,0.039773
bot,0.396459,0.349017,0.154887,0.065584,0.034053
bot,0.348897,0.275837,0.226337,0.107561,0.041368
bot,0.629495,0.208914,0.110268,0.02969,0.021634
bot,0.326822,0.273352,0.17413,0.159685,0.066011
bot,0.620085,0.259414,0.046613,0.04088,0.033008
bot,0.404431,0.206559,0.15614,0.118654,0.114216
bot,0.228191,0.210881,0.206658,0.190997,0.163273
bot,0.321349,0.289911,0.226667,0.127398,0.034674
bot,0.364557,0.244904,0.186059,0.14528,0.0592
bot,0.30939,0.276586,0.216156,0.107442,0.090426
bot,0.500863,0.158182,0.141308,0.127946,0.071701
bot,0.76334,0.146175,0.050246,0.021071,0.019168
bot,0.397177,0.263358,0.226907,0.068314,0.044244
bot,0.551045,0.280156,0.084372,0.052062,0.032364
bot,0.689381,0.195979,0.106084,0.006566,0.00199
bot,0.359276,0.2221,0.168183,0.150853,0.099587
bot,0.313394,0.258953,0.241799,0.102806,0.083048
